table_name,table_description,ordinal_position,column_name,display_label,source_fields,definition,formula,documentation_kind
all_config_repeat_metrics,Persisted root CSV report table,1,rank,rank,rank,Ordinal position after applying the table's declared sorting rule.,"N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_ordinal
all_config_repeat_metrics,Persisted root CSV report table,2,repeat,repeat,repeat,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
all_config_repeat_metrics,Persisted root CSV report table,3,seed,seed,seed,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
all_config_repeat_metrics,Persisted root CSV report table,4,model,model,model,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
all_config_repeat_metrics,Persisted root CSV report table,5,resolved_model,resolved_model,resolved_model,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
all_config_repeat_metrics,Persisted root CSV report table,6,extra_input,extra_input,extra_input,Persisted source-table value for `extra_input`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,7,cnn_epochs,cnn_epochs,cnn_epochs,Persisted source-table value for `cnn_epochs`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,8,cnn_patience,cnn_patience,cnn_patience,Persisted source-table value for `cnn_patience`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,9,window_sec,window_sec,window_sec,Persisted source-table value for `window_sec`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,10,hop_sec,hop_sec,hop_sec,Persisted source-table value for `hop_sec`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,11,overlap_pct,overlap_pct,overlap_pct,Persisted source-table value for `overlap_pct`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,12,max_windows_fraction,max_windows_fraction,max_windows_fraction,Proportion for the numerator and denominator named by this column.,rate = stated numerator count / stated eligible denominator count,rate_formula
all_config_repeat_metrics,Persisted root CSV report table,13,cnn_lr,cnn_lr,cnn_lr,Persisted source-table value for `cnn_lr`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,14,cnn_weight_decay,cnn_weight_decay,cnn_weight_decay,Persisted source-table value for `cnn_weight_decay`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,15,cnn_dropout,cnn_dropout,cnn_dropout,Persisted source-table value for `cnn_dropout`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
all_config_repeat_metrics,Persisted root CSV report table,16,cnn_label_smoothing,cnn_label_smoothing,cnn_label_smoothing,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
all_config_repeat_metrics,Persisted root CSV report table,17,n_train_subjects,n_train_subjects,n_train_subjects,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
all_config_repeat_metrics,Persisted root CSV report table,18,n_val_subjects,n_val_subjects,n_val_subjects,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
all_config_repeat_metrics,Persisted root CSV report table,19,n_test_subjects,n_test_subjects,n_test_subjects,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
all_config_repeat_metrics,Persisted root CSV report table,20,n_train_windows,n_train_windows,n_train_windows,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
all_config_repeat_metrics,Persisted root CSV report table,21,n_val_windows,n_val_windows,n_val_windows,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
all_config_repeat_metrics,Persisted root CSV report table,22,n_test_windows,n_test_windows,n_test_windows,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
all_config_repeat_metrics,Persisted root CSV report table,23,validation_window_balanced_accuracy,validation_window_balanced_accuracy,validation_window_balanced_accuracy,Macro-average recall across the K declared classes.,BA = (1/K) * sum_c [TP_c / (TP_c + FN_c)],inferred_metric_formula
all_config_repeat_metrics,Persisted root CSV report table,24,validation_window_macro_f1,validation_window_macro_f1,validation_window_macro_f1,Unweighted mean of the K class-specific F1 scores.,macro-F1 = (1/K) * sum_c F1_c,inferred_metric_formula
all_config_repeat_metrics,Persisted root CSV report table,25,validation_file_balanced_accuracy,validation_file_balanced_accuracy,validation_file_balanced_accuracy,Macro-average recall across the K declared classes.,BA = (1/K) * sum_c [TP_c / (TP_c + FN_c)],inferred_metric_formula
