table_name,table_description,ordinal_position,column_name,display_label,source_fields,definition,formula,documentation_kind
early_three_model_exploratory_paired_tests,Persisted root CSV report table,1,metric,metric,metric,Persisted source-table value for `metric`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_exploratory_paired_tests,Persisted root CSV report table,2,reference,reference,reference,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_exploratory_paired_tests,Persisted root CSV report table,3,candidate,candidate,candidate,Persisted source-table value for `candidate`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_exploratory_paired_tests,Persisted root CSV report table,4,candidate_minus_reference_mean_delta,candidate_minus_reference_mean_delta,candidate_minus_reference_mean_delta,Paired candidate-minus-reference difference in the reported statistic,delta = metric_candidate - metric_reference on the declared matched unit,paired_difference_formula
early_three_model_exploratory_paired_tests,Persisted root CSV report table,5,n_paired_repeat_seeds,n_paired_repeat_seeds,n_paired_repeat_seeds,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
early_three_model_exploratory_paired_tests,Persisted root CSV report table,6,exact_sign_patterns,exact_sign_patterns,exact_sign_patterns,Persisted source-table value for `exact_sign_patterns`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_exploratory_paired_tests,Persisted root CSV report table,7,raw_two_sided_exact_sign_flip_p,raw_two_sided_exact_sign_flip_p,raw_two_sided_exact_sign_flip_p,Null-hypothesis tail probability from the table's declared test.,two-sided p = Pr_H0(|T*| >= |T_observed|); exact statistic and resampling/rank distribution follow the declared test_method,declared_p_value_formula
early_three_model_exploratory_paired_tests,Persisted root CSV report table,8,exchange_unit,exchange_unit,exchange_unit,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_exploratory_paired_tests,Persisted root CSV report table,9,formal_v2_inference,formal_v2_inference,formal_v2_inference,Persisted source-table value for `formal_v2_inference`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_exploratory_paired_tests,Persisted root CSV report table,10,interpretation,interpretation,interpretation,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
