predictive_rank,case_id,status,is_reference,changed_values,complete_for_requested_execution,incompleteness_reasons,expected_repeat_count,expected_fold_cell_count,passed_fold_cell_count,metric_source,participant_balanced_accuracy_mean_sd,participant_balanced_accuracy_repeat_ci95,participant_macro_f1_mean_sd,participant_macro_f1_repeat_ci95,participant_macro_roc_auc_ovr_mean_sd,participant_macro_roc_auc_ovr_repeat_ci95,participant_macro_pr_auc_ovr_mean_sd,participant_macro_pr_auc_ovr_repeat_ci95,participant_abstention_aware_balanced_accuracy_mean_sd,participant_abstention_aware_balanced_accuracy_repeat_ci95,participant_mean_abstention_aware_macro_precision,participant_mean_abstention_aware_macro_recall,participant_abstention_aware_macro_f1_mean_sd,participant_abstention_aware_macro_f1_repeat_ci95,primary_ranking_metric,primary_ranking_metric_source,frailty_classification_evaluation_scope,auxiliary_motion_evidence_valid_outer_oof,ranking_interpretation,participant_mean_coverage_rate,abstention_count,abstention_counts_by_class,balanced_accuracy_lcb95,macro_f1_lcb95,participant_cluster_balanced_accuracy_ci95_low,participant_cluster_balanced_accuracy_ci95_high,participant_cluster_balanced_accuracy_ci95,participant_cluster_macro_f1_ci95_low,participant_cluster_macro_f1_ci95_high,participant_cluster_macro_f1_ci95,participant_cluster_bootstrap_resamples,participant_cluster_bootstrap_seed,worst_fold_balanced_accuracy,worst_fold_abstention_aware_balanced_accuracy,worst_class_recall,worst_class_f1,abstention_aware_worst_class_recall,abstention_aware_worst_class_f1,expected_calibration_error,repeat_count,fold_cell_count,subject_oof_prediction_count,ci_method,conditional_ci_method,repeat_ci95_method,decision
1,compact_cnn__b2_star_fixed10,passed,False,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B2"", ""study.legacy_bridge_profile_definition_sha256"": ""9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b2_star""}",True,[],5,25,25,participant_oof,56.9 ± 5.9,"[49.5, 64.2]",57.2 ± 6.9,"[48.6, 65.8]",74.7 ± 4.4,"[69.2, 80.2]",66.1 ± 5.6,"[59.2, 73.1]",56.9 ± 5.9,"[49.5, 64.2]",0.6104232804232804,0.5685185185185185,57.2 ± 6.9,"[48.6, 65.8]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.5119592463336416,0.5057120953160784,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.55,0.5376344086021505,0.55,0.5376344086021506,0.1648279113081538,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
2,inception_full__b0_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B0"", ""study.legacy_bridge_profile_definition_sha256"": ""c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b0_star""}",True,[],5,25,25,participant_oof,56.8 ± 2.4,"[53.8, 59.7]",57.2 ± 2.5,"[54.2, 60.3]",72.8 ± 2.5,"[69.7, 76.0]",64.6 ± 4.0,"[59.6, 69.5]",56.8 ± 2.4,"[53.8, 59.7]",0.5864570614570614,0.5675925925925925,57.2 ± 2.5,"[54.2, 60.3]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.5447426752775419,0.5490268161623703,,,N/A,,,N/A,,,0.3333333333333333,0.3333333333333333,0.5,0.4918032786885246,0.5,0.4918032786885246,0.2130850423070874,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
3,inception_full__b7_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B7"", ""study.legacy_bridge_profile_definition_sha256"": ""3e1d4d6e6297c79b94b55c515f2128d5d78aff1361daf8415bc2e7167fb17427"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b7_star""}",True,[],5,25,25,participant_oof,56.8 ± 2.4,"[53.8, 59.7]",57.2 ± 2.5,"[54.2, 60.3]",72.8 ± 2.5,"[69.7, 76.0]",64.6 ± 4.0,"[59.6, 69.5]",56.8 ± 2.4,"[53.8, 59.7]",0.5864570614570614,0.5675925925925925,57.2 ± 2.5,"[54.2, 60.3]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.5447426752775419,0.5490268161623703,,,N/A,,,N/A,,,0.3333333333333333,0.3333333333333333,0.5,0.4918032786885246,0.5,0.4918032786885246,0.2130850423070874,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
4,inception_full__b6_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B6"", ""study.legacy_bridge_profile_definition_sha256"": ""d015e1fb8fde79d793a4e94cf94e5331ea8e5c00b9e66b7a9acb13b28e86a568"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b6_star""}",True,[],5,25,25,participant_oof,56.0 ± 3.8,"[51.3, 60.7]",56.2 ± 4.7,"[50.4, 62.1]",72.5 ± 4.0,"[67.5, 77.5]",63.6 ± 5.0,"[57.3, 69.8]",56.0 ± 3.8,"[51.3, 60.7]",0.5716931216931217,0.5601851851851852,56.2 ± 4.7,"[50.4, 62.1]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.5239217349331545,0.5175309805326453,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.5,0.49586776859504134,0.5,0.49586776859504134,0.20935385804501117,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
5,compact_cnn__b0_star_fixed10,passed,True,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B0"", ""study.legacy_bridge_profile_definition_sha256"": ""c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b0_star""}",True,[],5,25,25,participant_oof,53.8 ± 6.8,"[45.3, 62.2]",52.9 ± 6.6,"[44.7, 61.2]",69.2 ± 4.3,"[63.8, 74.6]",61.0 ± 7.0,"[52.3, 69.7]",53.8 ± 6.8,"[45.3, 62.2]",0.5635016835016835,0.537962962962963,52.9 ± 6.6,"[44.7, 61.2]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.47306290559974684,0.46601876556213667,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.4666666666666667,0.4827586206896552,0.4666666666666667,0.4827586206896552,0.25452704846214463,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
6,compact_cnn__b7_star_fixed10,passed,False,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B7"", ""study.legacy_bridge_profile_definition_sha256"": ""3e1d4d6e6297c79b94b55c515f2128d5d78aff1361daf8415bc2e7167fb17427"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b7_star""}",True,[],5,25,25,participant_oof,53.8 ± 6.8,"[45.3, 62.2]",52.9 ± 6.6,"[44.7, 61.2]",69.2 ± 4.3,"[63.8, 74.6]",61.0 ± 7.0,"[52.3, 69.7]",53.8 ± 6.8,"[45.3, 62.2]",0.5635016835016835,0.537962962962963,52.9 ± 6.6,"[44.7, 61.2]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.47306290559974684,0.46601876556213667,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.4666666666666667,0.4827586206896552,0.4666666666666667,0.4827586206896552,0.25452704846214463,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
7,compact_cnn__b5_star_fixed10,passed,False,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B5"", ""study.legacy_bridge_profile_definition_sha256"": ""5ddd2a3e5ae7565d1bfa2a6fa5917e2f6c812b8e5cec3f300101aa7a597324dd"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b5_star""}",True,[],5,25,25,participant_oof,52.3 ± 3.5,"[47.9, 56.7]",53.4 ± 4.5,"[47.7, 59.0]",69.4 ± 3.1,"[65.6, 73.2]",60.3 ± 4.7,"[54.5, 66.2]",52.3 ± 3.5,"[47.9, 56.7]",0.5650109476580065,0.5231481481481481,53.4 ± 4.5,"[47.7, 59.0]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.48938871320583954,0.4904888645066609,,,N/A,,,N/A,,,0.0,0.0,0.5111111111111111,0.49230769230769234,0.5111111111111111,0.4923076923076923,0.262285978981258,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
8,inception_full__b5_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B5"", ""study.legacy_bridge_profile_definition_sha256"": ""5ddd2a3e5ae7565d1bfa2a6fa5917e2f6c812b8e5cec3f300101aa7a597324dd"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b5_star""}",True,[],5,25,25,participant_oof,51.8 ± 3.9,"[46.9, 56.6]",51.5 ± 3.7,"[47.0, 56.1]",69.5 ± 2.7,"[66.2, 72.9]",61.3 ± 3.4,"[57.1, 65.5]",51.8 ± 3.9,"[46.9, 56.6]",0.5228464128464129,0.5175925925925926,51.5 ± 3.7,"[47.0, 56.1]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.48021797018769935,0.48021061527791997,,,N/A,,,N/A,,,0.27777777777777773,0.27777777777777773,0.4166666666666667,0.423728813559322,0.4166666666666667,0.423728813559322,0.2699976662444608,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
9,inception_full__b2_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B2"", ""study.legacy_bridge_profile_definition_sha256"": ""9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b2_star""}",True,[],5,25,25,participant_oof,50.9 ± 5.2,"[44.5, 57.4]",51.8 ± 4.7,"[45.9, 57.7]",71.5 ± 2.9,"[67.8, 75.1]",64.2 ± 1.2,"[62.7, 65.7]",50.9 ± 5.2,"[44.5, 57.4]",0.5755114092420593,0.5092592592592593,51.8 ± 4.7,"[45.9, 57.7]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.45961574716829895,0.4731172708949103,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.45454545454545453,0.4444444444444444,0.4545454545454546,0.2383623484647941,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
10,inception_full__b1_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B1"", ""study.legacy_bridge_profile_definition_sha256"": ""78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b1_star""}",True,[],5,25,25,participant_oof,50.3 ± 2.3,"[47.5, 53.1]",50.5 ± 2.3,"[47.6, 53.3]",68.0 ± 6.6,"[59.8, 76.2]",61.5 ± 5.0,"[55.3, 67.7]",50.3 ± 2.3,"[47.5, 53.1]",0.5280952380952381,0.5027777777777778,50.5 ± 2.3,"[47.6, 53.3]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.48124471956986226,0.482859325903614,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.425,0.4857142857142857,0.425,0.48571428571428565,0.22004808535939302,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
